Dimension,Augmenting,Halving,Total,n/w_a,log(n*c)+1,n+log(n*c)+1,Early Stopping,Alpha
2,2,3,5,2,3.0,5.0,False,2.0
3,3,4,7,3,4.169925001442312,7.169925001442312,False,2.0
4,4,5,9,4,5.0,9.0,False,2.0
5,5,5,10,5,5.643856189774724,10.643856189774723,False,2.0
6,6,6,12,6,6.169925001442312,12.169925001442312,False,2.0
7,7,6,13,7,6.614709844115208,13.614709844115207,False,2.0
8,8,7,15,8,7.0,15.0,False,2.0
9,9,7,16,9,7.339850002884625,16.339850002884624,False,2.0
10,10,7,17,10,7.643856189774725,17.643856189774723,False,2.0
11,11,8,19,11,7.9188632372745955,18.918863237274596,False,2.0
12,12,8,20,12,8.169925001442312,20.169925001442312,False,2.0
13,13,8,21,13,8.400879436282185,21.400879436282185,False,2.0
14,14,8,22,14,8.614709844115207,22.614709844115207,False,2.0
15,15,8,23,15,8.813781191217037,23.81378119121704,False,2.0
16,16,9,25,16,9.0,25.0,False,2.0
17,17,9,26,17,9.17492568250068,26.174925682500678,False,2.0
18,18,9,27,18,9.339850002884624,27.339850002884624,False,2.0
19,19,9,28,19,9.49585502688717,28.49585502688717,False,2.0
20,20,9,29,20,9.643856189774725,29.643856189774723,False,2.0
