Dimension,Augmenting,Halving,Total,n/w_a,log(c)+1,n+log(c)+1,Early Stopping,Alpha
2,2,2,4,2,2.0,4.0,True,2.0
3,3,2,5,3,2.584962500721156,5.584962500721156,True,2.0
4,4,3,7,4,3.0,7.0,True,2.0
5,5,3,8,5,3.321928094887362,8.321928094887362,True,2.0
6,6,3,9,6,3.584962500721156,9.584962500721156,True,2.0
7,7,3,10,7,3.807354922057604,10.807354922057604,True,2.0
8,8,4,12,8,4.0,12.0,True,2.0
9,9,4,13,9,4.169925001442312,13.169925001442312,True,2.0
10,10,4,14,10,4.321928094887363,14.321928094887362,True,2.0
11,11,4,15,11,4.459431618637298,15.459431618637298,True,2.0
12,12,4,16,12,4.584962500721156,16.584962500721154,True,2.0
13,13,4,17,13,4.700439718141093,17.70043971814109,True,2.0
14,14,4,18,14,4.807354922057604,18.807354922057606,True,2.0
15,15,4,19,15,4.906890595608519,19.90689059560852,True,2.0
16,16,5,21,16,5.0,21.0,True,2.0
17,17,5,22,17,5.08746284125034,22.08746284125034,True,2.0
18,18,5,23,18,5.169925001442312,23.169925001442312,True,2.0
19,19,5,24,19,5.247927513443585,24.247927513443585,True,2.0
20,20,5,25,20,5.321928094887363,25.32192809488736,True,2.0
